,자치구,PET 총량,구별_미성년자_생활인구,1인가구,2_3_4인_가구_인구수,구별_연령대2030_거주인구_평균,구별_연령대30_거주인구_평균
0,종로구,738.5999999999999,17871339.17493441,1528.4117647058824,2049.5294117647063,2511.903743315508,1153.8877005347592
1,중구,712.8,8725033.99550761,1521.2,2027.5333333333333,2552.775757575758,1329.3030303030305
2,용산구,973.0,19460859.730455264,2305.0625,3458.0625,4457.568181818182,2375.125
3,성동구,1671.3,26074828.4168,2505.0,4409.35294117647,5402.433155080214,2801.604278074866
4,광진구,1315.5,30925990.0916,4153.4,5623.199999999999,7820.6303030303025,3673.7454545454543
5,동대문구,1632.7,29881672.37116667,4351.785714285715,5961.9285714285725,7537.324675324675,3519.0129870129867
6,중랑구,1924.0,28320262.0975375,3537.8125,6342.6875,7023.403409090909,3573.5625
7,성북구,951.8,31341157.265756603,3075.5,5509.3,6264.295454545454,2957.3045454545454
8,강북구,1147.1,28313692.70610714,3514.230769230769,6079.384615384615,6117.6783216783215,2897.853146853147
9,도봉구,771.8,27336861.499142855,2491.714285714286,6208.071428571429,5864.253246753247,2839.993506493506
10,노원구,1587.0,47018898.104205266,2970.4210526315787,7246.052631578947,7103.177033492823,3348.2775119617227
11,은평구,1970.2,40309138.6503375,3615.8125,7758.1875,8340.88068181818,4206.829545454545
12,서대문구,1412.1,33056161.23671154,3561.6428571428573,5569.642857142857,6712.162337662337,3178.824675324676
13,마포구,1786.8,35514837.130639024,3948.25,5736.5625,7848.5,3992.090909090909
14,양천구,1567.8,41521719.21461667,2190.8888888888887,6577.444444444445,6392.282828282828,3143.494949494949
15,강서구,1706.3,45163800.00870909,4308.6,7424.700000000001,9234.44090909091,4912.486363636363
16,구로구,1644.9,37923589.16570588,3185.6875,6619.375,7391.79393939394,3862.260606060606
17,금천구,811.7,20719037.89491,4233.4,5742.0,7304.0181818181845,3588.972727272728
18,영등포구,1974.0,32089566.065346666,3555.555555555556,5163.777777777777,7133.272727272728,3851.984848484849
19,동작구,1550.2,34892306.452705555,4273.4,6482.4,8458.278787878788,4093.412121212121
20,관악구,2877.2,22821590.087266665,6205.227272727273,5366.363636363636,9258.73593073593,4087.60606060606
21,서초구,776.5,46533045.33457391,2441.222222222222,5766.555555555557,6363.348484848485,3394.974747474748
22,강남구,2680.0,51594195.50447097,3088.9565217391305,5851.869565217391,6857.892561983471,3594.235537190083
23,송파구,2382.6,43832567.61434667,2729.4074074074074,6310.925925925927,7396.272727272727,3989.164983164983
24,강동구,2886.3,43985824.310772225,2795.333333333333,6591.055555555557,7174.871657754011,3850.807486631016
